,id,title,canonical title,imdbIndex,kind,year,rating,mpaa,votes,runtimes,color info,genres,languages,plot,countries,director,writer,cast,certificates,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Thriller,War,Western,Talk-Show,News,Game-Show,Reality-TV,History,Sport
10,tt0059167,I criminali della metropoli,"criminali della metropoli, I",null,movie,1967,null,null,null,[u'77'],[u'Black and White'],"[u'Crime', u'Drama']",[u'Italian'],null,[u'Italy'],['Gino Mangini'],['Gino Mangini'],"['Tony Kendall', 'Dorian Gray', 'Vassili Karis', 'Greta Polyn', 'Enzo Tarascio', 'Maddalena Gillia', 'Germano Longo', 'Giancarlo Giannini', 'Silla Bettini', 'Roger Beaumont', 'Claudio Biava', 'Calisto Calisti', 'Angelo Dessy', 'Attilio Dottesio', 'Gianni Solaro', 'Piera Vidale', 'Nino Fuscagni', 'Robert Burton', 'Franco Freisteiner', 'Nino Marchetti', 'Giuseppe Mattei', 'Mauro Parenti', 'Bernard Price', 'Massimo Tonna', 'Luigi Trani', 'Thomas Walton', 'Antony Wight']",null,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,tt0068376,Chut!,Chut!,null,movie,1972,5.6,null,25,[u'88'],[u'Color::(Eastmancolor)'],[u'Comedy'],[u'French'],[u'Fritz Ducharrel has to fight real estate sharks in order to save the money received from land value tax.'],[u'France'],['Jean-Pierre Mocky'],null,null,null,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,tt0070265,Kaplya v more,Kaplya v more,null,movie,1973,7.6,null,12,[u'68'],[u'Color'],[u'Family'],[u'Russian'],"[u'The story of the first-grader with a pot on his head to the music from the casket ""turu tutu tu turu tu turu tutu"".']",[u'Soviet Union'],['Yakov Segel'],['Yakov Segel'],"['Aleksandr Maslennikov', 'Olga Kislyar', 'Olga Baidukina', 'Valentina Telegina', 'Liliya Aleshnikova', 'Arina Aleynikova', 'Vladimir Ferapontov', 'Zoya Fyodorova']",null,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,tt0092747,Da tou bing chu ji,Da tou bing chu ji,null,movie,1987,4.9,null,9,[u'93'],[u'Color'],[u'Comedy'],"[u'Mandarin', u'Cantonese', u'Min Nan']",null,"[u'Taiwan', u'Hong Kong']",['Yen-Ping Chu'],['Yen-Ping Chu'],"['Fu-Mei Chang', 'Hsiao Yen Chang', 'Sung Young Chen', 'Jin-Yi Cheng', 'Donna Chiu', 'Ko-Liang Chu', 'Wen-lin Fang', 'Dou-Dou Hsiao', 'Chih-Hsiung Hu', 'Annie Shizuka Inoh', 'Pao-Ming Ku', 'Chun Liao', 'Hsiu-Ling Lu', 'Min-Jan Ni', 'Che-Pu Pan', 'Peng Peng', 'Ai-Chen Tan', 'Hung Tsai', 'Eric Tsang', 'Ning Yan', 'Chuan-Chen Yeh', 'Hsiung-cheng Yin']",null,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,tt0096432,null,null,null,movie,1988,7.6,null,5,[u'52'],[u'Black and White'],[u'Documentary'],[u'German'],"[u'A close-up of Berlin coal carriers from Prenzlauer Berg. No portrayal of worker heroes or progress here. Instead, bright, deeply-felt sketches of rough men and their resolute woman boss. ""Refreshing and new... A beautiful, sometimes whimsical documentation of Berlin workers. A cinematic correction of what, in general, was valued in an East German documentary."" - Elke Schieber, film historian']",[u'East Germany'],['Helke Misselwitz'],"['Helke Misselwitz', 'Thomas Plenert']",null,null,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,tt0109079,Aliens for Breakfast,Aliens for Breakfast,null,tv movie,1994,5.9,null,59,null,[u'Color'],"[u'Comedy', u'Sci-Fi']",[u'English'],[u'Kids gets cereal for breakfast. Breakfast has alien toy. Toy is alive. Adventure occurs. Happy ending. The end!'],[u'USA'],['John T. Kretchmer'],"['Jonathan Etra', 'Stephanie Spinner', 'Larry Wilson']","['Sinbad', 'Jarrett Lennon', 'Alfre Woodard', 'Zachary Bostrom', 'Teri Garr', 'Ben Savage']",null,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,tt0110040,Hollywood Dreams,Hollywood Dreams,null,movie,1994,2.4,null,131,[u'82'],[u'Color'],[u'Comedy'],[u'English'],"[u'Lou Bughetti is making a cheesy movie with lots of nudity. Sara wants to be in it and is willing to do just about anything to get in. Veronica wants to be a real actress, but is reluctantly willing to do nudity. Steve wants in for the fringe benefits, and he likes the make-up lady. Robby would prefer to be a DJ.']",[u'USA'],['Rafe M. Portilo'],"['Rafael Portillo', 'Jeff Spielman']","['Kelly Jaye', 'Danny Smith', 'Debra K. Beatty', 'Rick Scandlin', 'Jonathon Murphy', 'Brian Palermo', 'Anthony Holguin', 'Natasha Pulanova', 'Stephanie Carlisle', 'Kathy Lewis', 'Tony Bellini', 'Kathy Pasmore', 'Melvin Coots', 'Jacqueline St. Claire', 'Randy Wolf', 'Steve Freed', 'Bryn Ryan', 'Terri Burgeson', 'Dustin Arnold', 'Delta Kline']",null,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,tt0121208,Feng chen shi san yi,Feng chen shi san yi,null,movie,1987,null,null,null,[u'78'],[u'Color'],null,"[u'Mandarin', u'Cantonese']",null,"[u'Taiwan', u'Hong Kong']",['Siu Jun Wong'],['Wengui Chen'],"['Alex Man', 'Yeong Fang Usang', 'Dick Wei', 'Kara Hui', 'Tien Hsiang Lung', 'Siu-Kwan Lau', 'Ah-Niu', 'Kwok Leung Cheung', 'Kuei Chia', 'Tao Chiang', 'Ti Chin', 'Shao-Shu Hsieh', 'Mei-Hsiu Liu', 'Tien Ma', 'Toko Okawa', 'Hui-Chen Peng', 'Pa-Shi Shin', 'Chih-Ching Tsao', 'Bo Lin Tsu', 'Chiu-Hsiung Wang']",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
18,tt0136545,South Pacific 1942,South Pacific 1942,null,movie,1981,7.2,null,5,[u'86'],[u'Color'],null,[u'English'],[u'Follows the crew of a Canadian submarine in World War Two and their fight against the Japanese Imperial Navy.'],[u'Canada'],['Paul Donovan'],['Paul Donovan'],null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19,tt0145690,Capcana,Capcana,null,movie,1974,6.3,null,25,[u'100'],[u'Color'],"[u'Action', u'Crime', u'Drama']",[u'Romanian'],"[u'After defeating some Iron Guard gangs in Bucharest, those who survived were hiding somewhere in the mountains. Several bloody events took place in one of the smaller villages. In the unequal struggle with criminals entered the former police commissioner who meanwhile became a Major in Romanian Comunist Police, Mihai Roman.']",[u'Romania'],['Manole Marcus'],['Titus Popovici'],null,null,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,tt0157358,Barood,Barood,null,movie,1976,5.5,null,37,null,[u'Color'],"[u'Action', u'Crime', u'Drama', u'Romance', u'Thriller']",[u'Hindi'],"[u""Young Anup Saxena lives a middle-classed lifestyle in Bombay along with his widower dad, Durgaprasad, who works as a Police Inspector. Anup's life is turned upside down when he witnesses four men assault and kill his father. He spends the rest of his childhood acquiring money and athletic ability to avenge his father's death - a decision that will take him to Las Vegas, New York, Geneva, Madrid and Paris - where he will find his life threatened by his father's assailants as well as a New York-based detective who is determined to arrest him at any and all costs.""]",[u'India'],['Pramod Chakravorty'],"['Sachin Bhowmick', 'Ehsan Rizvi']","['Rishi Kapoor', 'Reena Roy', 'Shoma Anand', 'Ashok Kumar', 'Ajit', 'Prem Chopra', 'Madan Puri', 'David Abraham', 'Asrani', 'Azad', 'Birbal', 'Sujit Kumar', 'Shreeram Lagoo', 'Manmohan', 'Raj Mehra', 'Raju Shrestha', 'Dharmendra', 'Hema Malini', 'Rajendra Nath', 'Asit Kumar Sen', 'Om Shivpuri']",null,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,tt0167043,Beyond Desire,Beyond Desire,null,movie,1986,6.4,null,26,[u'Portugal:74'],[u'Color'],[u'Adult'],[u'English'],"[u""A hard-bitten detective finds that he's in over his head when he moves into the headquarters of an escort dating service to protect the female employees.""]",[u'USA'],['Tim McDonald'],['Tim McDonald'],"['Vanessa del Rio', 'Seka', 'Kristara Barrington', 'Gina Carrera', 'John Leslie', 'Little Oral Annie', 'Rocky Balboa', 'Lynx Canon', 'D.J. Cone', 'Billy Dee', 'Nina Hartley', 'Mike Horner', 'Elmo Lavino', 'Rene Lovins', 'Jon Martin', 'Francois Papillon', 'Patti Petite', 'Madame Plunket', 'Roger Scorpio', 'Joey Silvera', 'Rene Tiffany', 'Ashley Welles']",null,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,tt0176601,"Chelovek, kotoromu vezlo","Chelovek, kotoromu vezlo",null,movie,1978,6.8,null,15,null,[u'Color'],null,[u'Russian'],null,[u'Soviet Union'],['Konstantin Ershov'],"['Konstantin Ershov', 'Gleb Panfilov']","['Georgiy Burkov', 'Anatoli Adoskin', 'Tatyana Shestakova', 'Tatyana Antipina', 'Yuriy Katin-Yartsev', 'Aleksandr Porokhovshchikov', 'Aleksandr Yanvaryov', 'Yelena Anderegg', 'Dmitry Bessonov', 'Mikhail Devyatkin', 'Konstantin Ershov', 'F. Kuzmin', 'O. Lazarev', 'V. Lopyrev', 'Vladimir Losev', 'Vera Medvedeva', 'Irina Petrovskaya', 'Mikhail Romanov', 'Venyamin Smekhov', 'Tatyana Ukharova', 'Aleksandr Zakharov', 'S. Kiselyov']",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23,tt0186618,Las tierras blancas,"tierras blancas, Las",null,movie,1959,6.5,null,10,[u'78'],[u'Black and White'],[u'Drama'],[u'Spanish'],null,[u'Argentina'],['Hugo del Carril'],null,null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,tt0191973,Dr. Carstair's 1869 Love-Root Elixir,Dr. Carstair's 1869 Love-Root Elixir,null,movie,1972,5.3,null,7,[u'USA:77::(hardcore version)'],[u'Color'],"[u'Comedy', u'Western']",[u'English'],"[u'A couple of thugs rob gold from the peaceful miners, then they steal their women. This leads to fighting, making up, a threesome in a brothel.']",[u'USA'],['Henning Schellerup'],['Joseph Drury'],"['Derek Wilde', 'Susan Gaines', 'Marge Wilson', 'Bob Wray', 'James Eastland', 'Norman Fields', 'Jean West', 'Paul Dickens', 'Ralph Thomas', 'Jim Hopewell', 'William Guhl', 'Brad Powers', 'Craig Fordman', 'Bert Davis', 'Kris Flanagan', 'Kathy Hilton', 'Marsha Jordan', 'Jay Scott', 'Steven Sommers', 'Tony Vorno']",null,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,tt0198847,Un novio para Laura,"novio para Laura, Un",null,movie,1955,6.8,null,15,[u'93'],[u'Black and White'],"[u'Comedy', u'Musical', u'Romance']",[u'Spanish'],null,[u'Argentina'],['Julio Saraceni'],['Abel Santacruz'],null,null,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
26,tt0213670,Frontier Law,Frontier Law,null,movie,1943,null,null,null,[u'55'],[u'Black and White'],"[u'Action', u'Adventure', u'Music', u'Romance', u'Western']",[u'English'],"[u""Riding south from Montana, Jim Warren and his friend, Ramblin' Rufe, discover that Jim's old pal, Dusty Norton, is working for triggerman Joe Hawkins. Later, Jim and Rufe see cattleman Frank Rodgers kill cattleman Farrell in self defense, after a dispute about the illegal grazing of Farrell's stock on Rodgers' land. The only other witness is Lois, Rodgers' daughter. Rodgers is jailed, and Hawkins, who has also been stealing cattle from both ranches and altering the brands, tries to incite a lynching. Hawkins causes a confrontation between Jim and Dusty that leads to a climatic gun battle with the two old pals against the Hawkins gang.""]",[u'USA'],['Elmer Clifton'],['Elmer Clifton'],"['Russell Hayden', 'Fuzzy Knight', 'Dennis Moore', 'Jennifer Holt', 'Jack Ingram', 'Hal Taliaferro', 'George Eldredge', 'I. Stanford Jolley', 'Frank LaRue', 'Jim Farley', 'Johnny Bond', 'Red River Valley Boys', 'Hank Bell', 'Roy Butler', 'Tex Cooper', 'Victor Cox', 'Jimmie Dean', 'Art Fowler', 'Neal Hart', 'Earle Hodgins', 'Pascale Perry', 'George Plues', 'Bob Reeves', 'Paul Sells', 'Harry Tenbrook', 'Wesley Tuttle', 'Michael Vallon']",null,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,tt0243871,null,null,null,movie,1955,4.9,null,7,[u'100'],[u'Black and White'],[u'Drama'],[u'Slovak'],null,[u'Czechoslovakia'],['Andrej Lettrich'],null,null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,tt0249500,Estafa de amor,Estafa de amor,null,movie,1955,7.2,null,5,[u'93'],[u'Black and White'],[u'Drama'],[u'Spanish'],null,[u'Mexico'],['Miguel M. Delgado'],null,null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,tt0251101,Gone Underground,Gone Underground,null,movie,2001,7.1,null,45,[u'9'],[u'Color'],[u'Short'],[u'German'],"[u'A young lady enters a futuristic subway train. There are three passengers in the waggon... no words are spoken, no comment is made... a little later due to technical problems the machine stops and lights are turned off... what happens then shows us in a shocking way to mind the signs.']",[u'Germany'],['Su Turhan'],"['Bettina Platz', 'Su Turhan']","['Katja Flint', 'Ralph Herforth', 'Lisa Kreuzer', 'Florian Sigl']",null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,tt0282200,The Stranger: The Terror Game,"Stranger: The Terror Game, The",null,video movie,1994,6.3,null,18,[u'50'],[u'Color'],"[u'Sci-Fi', u'Thriller']",[u'English'],"[u""The Stranger (Colin Baker) arrives on Earth with no memory of who he is or why he's there. However, two men on a secret mission seem to know his identity and the owner of a local bar/club seems to be hiding a secret in an upstairs room. Unsure of whom to trust or even believe, The Stranger must try and unravel the threads of his mysterious past...a past he may not want to remember.""]",[u'UK'],['Bill Baggs'],['Nicholas Briggs'],"['Colin Baker', 'Louise Jameson', 'David Troughton', 'John Wadmore', 'Nicholas Pegg', 'Nicholas Briggs', 'Helen Hewlett']",null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
31,tt0289784,null,null,null,episode,1998,7.8,null,36,[u'60'],"[u'Black and White', u'Color']","[u'Documentary', u'Biography', u'Music']",[u'English'],null,[u'USA'],['Michael McNamara'],['Michael McNamara'],"['Vince Neil', 'Tommy Lee', 'Mick Mars', 'Nikki Sixx', 'Mike Amato', 'Pamela Anderson', 'John Corabi', 'Larry Flynt', 'Jim Forbes', 'Lonn Friend', 'Ross Halfin', 'Heather Locklear', 'Doc McGhee', 'Ozzy Osbourne', 'Stephen Pearcy', 'Bob Rock', 'David Rudich', 'Neil Zlozower']",null,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,tt0289870,null,null,null,movie,1969,6.6,null,137,[u'84'],[u'Color'],"[u'Drama', u'Romance']",[u'Turkish'],[u'Beginning growing parting longing reuniting breaking and ending of the nostalgic forbidden love between a humble backwoodsman and a naive family girl is told through their secret letters and most private memories in narrative format.'],[u'Turkey'],['Ertem Egilmez'],null,null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,tt0314525,null,null,null,movie,1968,null,null,null,[u'8'],[u'Black and White'],[u'Short'],[u'Portuguese'],"[u'Using the Instituto Butant\xe3 (an Institute in S\xe3o Paulo, Brazil, kind of a snake farm, specializing in extracting ophidian antiserum) as example , or ""victim"", the film intends to be an institutional anti-documentary, an anarchic pamphlet against documentaries that are, in fact, disguised propaganda.']",[u'Brazil'],['Roman Stulbach'],null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,tt0445510,null,null,null,movie,1979,6.8,null,67,[u'88'],[u'Color'],[u'Drama'],[u'Estonian'],null,[u'Soviet Union'],['Leida Laius'],"['Leida Laius', 'Paul-Eerik Rummo', 'Anton Hansen Tammsaare']",null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,tt0459410,Inshallah: Diary of an Afghan Woman,Inshallah: Diary of an Afghan Woman,null,tv movie,2002,null,null,null,[u'USA:50'],[u'Color'],[u'Documentary'],[u'English'],"[u'Since 1993, when she founded the U.S. based aid organization Help the Afghan Children, Suraya Sadeed has led eighteen relief missions to her homeland, smuggling food and supplies through Taliban-held territory and setting up often clandestine schools and medical clinics.']",[u'USA'],['Randall Scerbo'],['Randall Scerbo'],['Suraya Sadeed'],null,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,tt0459525,Red Midnight,Red Midnight,null,video movie,2005,5.9,null,27,[u'USA:90'],[u'Color'],[u'Horror'],[u'English'],[u'The tale of a reporter who attends a strange theatrical event and experiences more than she bargained for is wrapped around 3 supernatural tales of terror.'],"[u'Italy', u'USA']","['Brian Michael Finn', 'Giovanni Pianigiani', 'Ray Schwetz']","['Brian Michael Finn', 'Giovanni Pianigiani', 'Ray Schwetz']","['Joe Zaso', 'Jasi Cotton Lanier', 'Roger Wu', 'Stephanie Roy', 'Giada Vadala', 'Peter Jae', 'Maurizio Rapotec', 'Michele Marie Traina', 'Brianna Shaughnessy', 'Tara Magalski', 'Riccardo Calvanese', 'Barbara Russo', 'Karen Cognato', 'Patrick Tierney', 'Dennis Albanese', 'Christine Bonfanti', 'Michael Bruno', 'Hugh C. Daly', 'Patrick J. Egan', 'Catie Filangeri', 'Ben Fiore', 'Sasha Friedenberg', 'Daniel Hughes', 'Lindley Lee', 'Ray Schwetz', 'Jesse St. James', 'Shawn-Caulin Young']",null,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,tt1261949,Reba: For My Broken Heart,Reba: For My Broken Heart,null,video movie,1992,8.2,null,5,null,[u'Color'],[u'Music'],[u'English'],null,[u'USA'],['Peter Israelson'],null,['Reba McEntire'],null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
